0	0
1	-0.0040982
2	-0.00815859
3	-0.0121437
4	-0.0160165
5	-0.0197412
6	-0.0232829
7	-0.0266084
8	-0.0296861
9	-0.0324865
10	-0.0349825
11	-0.0371494
12	-0.0389652
13	-0.0404112
14	-0.0414714
15	-0.0421334
16	-0.0423882
17	-0.0422304
18	-0.0416583
19	-0.0406738
20	-0.0392827
21	-0.0374947
22	-0.0353232
23	-0.0327852
24	-0.0299016
25	-0.0266967
26	-0.0231982
27	-0.0194371
28	-0.0154474
29	-0.0112658
30	-0.00693166
31	-0.00248631
32	0.00202694
33	0.00656333
34	0.011077
35	0.0155215
36	0.0198502
37	0.0240165
38	0.0279748
39	0.0316806
40	0.0350911
41	0.038166
42	0.0408673
43	0.0431607
44	0.0450152
45	0.0464042
46	0.0473056
47	0.0477022
48	0.0475823
49	0.0469396
50	0.0457737
51	0.0440902
