Temp		Magnetization		Susceptibility		Cumulant		Std Deviation
1.6		0.97460029		0.34623762		0.66404653		0.00084859262
2		0.90296296		0.40844993		0.65636214		0.017394123
2.16		0.83627698		1.1713707		0.64028522		0.004770036
2.34		0.68630088		22.356978		0.58190726		0.0096068163
2.43		0.66322581		20.10673		0.56268563		0.039645639
2.76		0.35742021		6.4186132		0.30782841		0.008105399
3.35		0.21869565		2.1196626		0.1235522		0.015873449
