Temp		Magnetization		Susceptibility		Cumulant		Std Deviation
1.6		0.97469975		7.5580429		0.66494133		0.0017452973
2		0.90654421		5.6303958		0.66449165		0.0011623359
2.16		0.82411429		7.1630134		0.66153137		0.0064885265
2.34		0.32721754		154.87006		0.37227776		0.0040359016
2.43		0.17363647		46.836482		0.14675166		0.0034181079
2.76		0.072182535		7.4931635		-0.049925675		0.0020767438
3.35		0.042412986		2.1328164		-0.026613424		0.0007835677
