Temp		Magnetization		Susceptibility		Cumulant		Std Deviation
1.6		0.98122449		0.040410246		0.66364794		0.0051371553
2		0.91408585		0.24919713		0.64857225		0.0056297769
2.16		0.86541353		0.43258339		0.6322515		0.0083817745
2.34		0.76842105		6.8475034		0.59482602		0.051532004
2.43		0.75211555		6.4764362		0.58477436		0.0073642805
2.76		0.62580645		4.2911797		0.50471336		0.014857072
3.35		0.34		1.3966169		0.10473341		0.048835324
