0	0
1	0.0399391
2	0.0798638
3	0.119757
4	0.159599
5	0.19936
6	0.239002
7	0.278475
8	0.317709
9	0.356617
10	0.395086
11	0.432974
12	0.470112
13	0.506295
14	0.541285
15	0.574813
16	0.606581
17	0.636268
18	0.663537
19	0.688049
20	0.709469
21	0.727485
22	0.741816
23	0.752233
24	0.758557
25	0.760684
26	0.758577
27	0.752276
28	0.741893
29	0.727609
30	0.709663
31	0.688345
32	0.663979
33	0.636914
34	0.607509
35	0.576125
36	0.543106
37	0.508781
38	0.473452
39	0.437388
40	0.400826
41	0.363969
42	0.326981
43	0.289996
44	0.253111
45	0.216392
46	0.179878
47	0.143578
48	0.10748
49	0.0715511
50	0.0357438
51	0
