0	0
1	0.00293426
2	0.00577053
3	0.0084139
4	0.0107756
5	0.0127762
6	0.0143479
7	0.0154378
8	0.0160102
9	0.0160482
10	0.0155555
11	0.0145576
12	0.0131016
13	0.0112557
14	0.00910799
15	0.00676386
16	0.00434272
17	0.00197392
18	-0.00020816
19	-0.00206951
20	-0.0034823
21	-0.00433065
22	-0.00451629
23	-0.00396365
24	-0.0026241
25	-0.000479302
26	0.00245687
27	0.00613759
28	0.0104839
29	0.0153868
30	0.0207107
31	0.0262978
32	0.0319738
33	0.0375536
34	0.0428474
35	0.047668
36	0.0518359
37	0.0551856
38	0.0575708
39	0.0588684
40	0.0589821
41	0.0578453
42	0.0554219
43	0.0517082
44	0.0467314
45	0.04055
46	0.0332508
47	0.0249477
48	0.0157777
49	0.00589832
50	-0.00451681
51	-0.0152819
