0	0
1	0.0399969
2	0.0799923
3	0.119984
4	0.159968
5	0.199939
6	0.239885
7	0.279792
8	0.31963
9	0.359361
10	0.398921
11	0.438224
12	0.477144
13	0.515515
14	0.553118
15	0.589677
16	0.624853
17	0.658249
18	0.689414
19	0.717859
20	0.743071
21	0.764547
22	0.781813
23	0.794467
24	0.802191
25	0.80479
26	0.802192
27	0.79447
28	0.78182
29	0.764559
30	0.743093
31	0.7179
32	0.689488
33	0.658377
34	0.625068
35	0.590031
36	0.553687
37	0.516404
38	0.478498
39	0.440236
40	0.40184
41	0.363493
42	0.325344
43	0.287511
44	0.250081
45	0.21311
46	0.176624
47	0.140612
48	0.105032
49	0.0698078
50	0.0348376
51	0
